s,retailid,manitemid,y,m,d,efr,efc,ohb,promotypeid,srf_adew,srf_aheat,srf_amax,srf_aprcp,srf_cmf,srf_dew,srf_heatw,srf_hum,srf_max,srf_min,srf_prcp,srf_prcpp,srf_uv,srf_wnds,p_cci1,p_cci2,p_cci3,p_ces,p_cpi,p_cru,p_dies,p_emp,p_fern,p_fmr,p_gas,p_gern,p_hpe,p_hpi,p_hse,p_hsn,p_labf,p_lint,p_mern,p_mhrs,p_nfe,p_nhc,p_nhs,p_phm,p_rs,p_sint,p_smkt,p_uner,cy,zip_pop,age_median,white,black,asian,hispanic,fam_w_children,fam_female_head,house_rental,ed_bs,labor_force,commut_tele,commut_avg,inc_median_house,inc_mean_house,inc_mean_fam,inc_per_cap,house_rooms_median,house_oil
0,1,1,2012,1,3,11.2,11.2,890,0,-12.065237,7.3445244,-9.4859521,-0.05761905,-6.3616666,-8.9461904,12.29183,-18.11904907,-7.8102379,-6.3099995,-0.03690476,-20.5,0,-3.3545237,61.5,38.8,76.7,1029,227.505,102.96,3.087,1847159,1818,3.98,2.994,338.7,175700,616,1760000,192,2040965,2.99,765,40.8,1788.3,274,403,6.52,360448,0,1277.06,9.5,0.72,39924,39.299999,61353,17324,447,420,4733,2587,4475,1483,19428,231,22.799999,35142,42998,41886,17765,5.3000002,15
0,1,1,2012,1,7,11.2,11.2,890,0,13.469286,-16.019048,25.118094,-0.05036333,11.490469,8.9105761,11.06194,-1.64573288,15.893316,14.186008,-0.03880952,-16.89840508,-0.436412662,-0.92911976,61.5,38.8,76.7,1338,227.505,101.56,3.117,5805265,5711.5,3.98,2.889,721.2,266600,616,600000,25,6331472,3.02,711.42,39.9,5690.4,90,75,7.1,360448,0.01,1277.81,8.3,0.97,16530,36,29522,2163,1161,216,1689,802,2613,2255,9535,188,22.799999,49517,63997,57127,26051,5.8000002,1909
0,1,1,2012,1,6,11.2,11.2,890,0,13.711666,-18.023094,19.524048,-0.07428572,8.6733334,8.8669048,10.42616,7.785713196,13.903334,11.166191,-0.10714286,-8.404762268,0,5.4250005,61.5,38.8,76.7,1338,227.505,101.56,3.117,8583615,8747,3.98,2.889,1458.3,266600,616,600000,25,9449907,3.02,756.69,40.4,8645.5,90,75,7.1,360448,0.01,1277.81,9.2,0.93,8769,42.700001,17207,90,172,49,1022,219,622,1237,4180,151,22.1,60694,79520,75215,31307,6.8000002,85
1,1,1,2012,1,3,11.2,11.2,890,0,-20.972144,11.155953,-11.632858,-0.13785714,-10.013572,-13.570238,9.041122,-25.2142868,-13.348334,-11.942142,-0.09761905,-26.97619057,0,3.2195239,61.5,38.8,76.7,1029,227.505,102.96,3.087,4293271,3928.6,3.98,2.994,684.7,175700,616,1760000,192,4739095,2.99,723.17,39.8,3972.9,274,403,6.52,360448,0,1277.06,9.4,0.72,61674,36.599998,104317,10112,6094,2797,9033,1825,3801,14647,35530,2047,31,78768,88622,88954,33373,7.5999999,0
6,1,1,2012,1,3,11.2,11.2,890,0,-4.3354771,6.532382,-8.2714272,-0.04285714,-9.3028571,-6.9328573,9.85244,-10.40476227,-9.8061905,0.27000023,-0.04166667,-13,0,15.740952,61.5,38.8,76.7,1029,227.505,102.96,3.087,4036397,3714.8,3.98,2.994,710,175700,616,1760000,192,4295930,2.99,719.44,39.1,3686.1,274,403,6.52,360448,0,1277.06,6,0.72,,,0,0,0,0,,,,,,,,,,,,,
0,1,1,2012,1,7,11.2,11.2,890,0,11.676487,0.50601768,-4.0306396,-0.00060733,-2.4085705,6.1495239,6.893127,14.80952454,-4.46,2.8738103,-0.0047619,-3.619047165,0,-0.53190498,61.5,38.8,76.7,1085,227.505,101.56,3.117,16283531,14271.8,3.98,2.889,2385,240400,616,1260000,78,18365887,3.02,822.5,40.9,14391.6,88,135,7.1,360448,0.01,1277.81,11.3,0.97,23975,37.400002,29859,1622,13269,3848,3022,1174,5811,5244,13235,624,27.200001,55701,73025,71962,32763,4.5999999,0
2,1,1,2012,1,6,11.2,11.2,890,0,9.0059533,-8.8592868,15.15762,-0.05142857,10.130952,3.6557146,10.85625,-12.61904907,14.880714,4.1480944,-0.04642857,-17.23809433,0,-3.2230959,,,,,,,,,3876.5,,,618,,,,,,,804.22,41.2,,,,,,,,,0.93,28787,37.700001,53998,839,1859,1070,4109,775,2089,5180,15343,828,31.1,77639,97800,89778,35886,6.8000002,3153
1,1,1,2012,1,3,11.2,11.2,890,0,-9.1914284,1.2466676,1.896189,-0.01,2.254762,-6.7326187,24.86554,-24.97618866,1.6066649,-3.5723801,-0.02380952,-15.19047642,0,-3.3516671,61.5,38.8,76.7,1124,227.505,102.96,3.087,2769701,2668.7,3.98,2.994,439.1,150600,616,1010000,43,2997084,2.99,716.36,40.2,2725.6,88,110,6.52,360448,0,1277.06,7.6,0.72,41383,34.5,80670,629,747,478,6198,1607,2389,4325,23651,532,27.1,55378,62383,62944,23399,5.5999999,135
0,1,1,2012,1,4,11.2,11.2,890,0,13.194762,-18.153335,17.271429,-0.00619048,12.784047,7.5938097,25.47183,-10.07143021,21.546192,12.247619,0,-4.666666508,0,-1.406429,61.5,38.8,76.7,1124,227.505,103.22,3.135,1402002,1353.7,3.98,2.985,259.7,150600,616,1010000,43,1402002,3.04,787.9,41.6,1371.2,88,110,6.54,360448,0.01,1277.3,6.4,0.8,23052,30.5,44278,454,476,598,2683,744,3720,2644,13287,282,13.2,32482,43999,46173,18701,5.5,0
5,1,1,2012,1,6,11.2,11.2,890,0,19.056905,-25.785475,25.781429,-0.02738095,14.887381,11.664762,15.33745,-0.833332062,21.770952,18.723333,-0.04047619,-20.59523773,0,-2.4202382,61.5,38.8,76.7,1124,227.505,101.56,3.117,2877868,2881.1,3.98,2.889,430.5,150600,616,1010000,43,3169745,3.02,762.81,41.3,2835.8,88,110,7.1,360448,0.01,1277.81,9.2,0.93,24929,35.400002,46512,200,123,2385,3205,891,2787,1088,11701,255,18.1,38318,48765,47836,17325,5.6999998,337
1,1,1,2012,1,2,11.2,11.2,890,0,8.5871433,-9.2249986,8.5800018,0.01738095,3.3814286,-0.45880945,10.77586,-12.5,6.4049988,11.16881,-0.02738095,15.26190567,0,6.9254758,,,,,,,,,3876.5,,,618,,,,,,,804.22,41.2,,,,,,,,,0.64,39908,35,45754,25866,3862,3923,5155,2813,8871,4491,19467,301,27.1,40046,62071,51903,24110,4.6999998,1594
